ObjID,RA,Dec,z,Specflag,BPTflag,MIRflag,FIRSTflag,SEDflag,S22_unWISE,E22_unWISE,S60_IRAS,E60_IRAS,S100_IRAS,E100_IRAS,S100_HATLAS,E100_HATLAS,S160_HATLAS,E160_HATLAS,S250_HATLAS,E250_HATLAS,S350_HATLAS,E350_HATLAS,S500_HATLAS,E500_HATLAS,S100_PPSC,E100_PPSC,S160_PPSC,E160_PPSC,S250_SPSC,E250_SPSC,S350_SPSC,E350_SPSC,S500_SPSC,E500_SPSC,S1.4,E1.4,logL1.4,logdL1.4,logLTIR,logLFIR,logdLTIR_upp,logdLTIR_low,qTIR,qFIR,dqTIR_upp,dqTIR_low
1237662238018502874,220.19028,8.4508005,0.03018522,1.0,2.0,0.0,1.0,1.0,0.02008260169780094,9.81942384757543E-4,0.324,0.038117647058823534,0.898,0.1548275811153418,,,,,,,,,,,,,,,,,,,,,0.00942099932581,4.9200002104E-4,22.2910412153,0.0226651124522,10.2741023582,9.931288611529917,0.0331092744498,0.0353649979108,1.9920018042770842,1.6491880576070024,0.026193286539401228,0.027287338499520475
1237663783673331816,29.256249,-0.27899624,0.045306064,1.0,0.0,0.0,1.0,0.0,0.05361580481991279,9.139680935092745E-4,0.353,0.04584415584415584,0.608,0.138181815186808,,,,,,,,,,,,,,,0.3932,0.0065,0.1517,0.006300000190734864,0.061399999999999996,0.0072,0.00103043077979,1.02423917269E-4,21.6904188192,0.0431392199909,10.8353181111,10.558252150204071,0.0068656424837,0.00515604527373,3.1538399532770853,2.876773992381157,0.04141206524576457,0.04055352590206773
1237651752934506550,175.26506,1.7255316,0.04059508,1.0,0.0,0.0,1.0,1.0,0.04853605670918825,0.0010595603907464723,0.466,0.04236363636363637,0.859,0.14316666666666666,-1.0,-1.0,-1.0,-1.0,0.6598367165924907,0.014885,0.242832,0.008343,0.097631,0.008661,,,,,0.6434,0.0068,0.2696,0.0056999998092651365,0.1071,0.0061,0.00392899988219,4.83999989228E-4,22.173926977,0.0534629680895,10.7656181335,10.471456645000908,0.00632929074968,0.00626151057334,2.600631817877087,2.3064703293779942,0.04979546063182916,0.05162812400695582
1237652629098987525,0.88387265,-10.744671,0.029573437,1.0,4.0,0.0,1.0,1.0,0.0327142591108915,0.001572563552781137,0.369,0.042906976744186046,1.577,0.14336363636363636,,,,,,,,,,,,,,,,,,,,,0.00248900009319,5.45000017155E-4,21.6948673587,0.0950301320166,10.5038911865,10.125912806416542,0.0209553157256,0.02196397827,2.8179644891770863,2.4399861090936277,0.09405493032008261,0.09237949472017837
1237650795675451815,128.56243511603867,-0.3960264412496415,0.062777,0.0,,0.0,1.0,1.0,0.015878331367549188,8.513850343692447E-4,,,,,0.39785574265572426,0.0570046,0.5774297890915424,0.0605631,0.2920871579209417,0.011595,0.124978,0.008238,0.068042,0.008478,0.377005584,0.025523239580934925,0.522995719,0.07510878929385097,0.2796,0.0055,0.14780000000000001,0.005599999904632568,0.0737,0.0059,0.00216799997725,4.50999999885E-4,22.3054553959,0.0902832112565,10.7272815147,10.407061626733874,0.0140739392691,0.0140350474242,2.430766780177084,2.1105468922109587,0.09244870105377023,0.08673336964152023
1237662698111762636,240.47821,24.150893,0.06293253,1.0,0.0,0.0,1.0,1.0,0.07225888508048409,0.0010283468065283034,0.414,0.037636363636363634,1.236,,,,,,,,,,,,,,,,,,,,,,0.00352399982512,4.18999989051E-4,22.5186576699,0.0516021578526,10.9554304164,10.676835343240633,0.0355757396979,0.0123413402859,2.4457134078770864,2.167118334717717,0.05868613837275172,0.0484008193787453
1237662225696948435,235.94191,28.415229,0.03275088,1.0,0.0,0.0,1.0,1.0,0.047026663573224776,7.704742842677473E-4,0.365,0.030416666666666665,0.791,0.1340677944431015,,,,,,,,,,,,,,,,,,,,,0.00434299977496,4.60000010207E-4,22.0269161454,0.0459682281314,10.3934621666,10.131734777669216,0.0399430366371,0.033954849626,2.375486682577087,2.1137592936463,0.051108149160736804,0.047110824040471844
1237671955907149891,203.12393,3.5954892,0.034881104,1.0,0.0,0.0,1.0,1.0,0.04893145447305063,9.494882085131481E-4,0.295,0.04041095890410959,0.606,0.1188235316337049,,,,,,,,,,,,,,,,,,,,,0.00299599999562,4.4600002002E-4,21.9214987358,0.06460747963,10.3975833664,10.138053693572116,0.0430360724017,0.0356372960688,2.4850252919770845,2.2254956191492035,0.06851134430860428,0.061944522003360536
1237679036697084014,348.17951413714275,10.72975406388992,0.014218,0.0,,0.0,1.0,1.0,0.10884143047089809,9.89091278517298E-4,0.726,0.04270588235294118,1.106,0.23531915848586546,,,,,,,,,,,,,,,,,,,,,0.00274612987414,1.50638501509E-4,21.0933860185,0.0238069984492,9.88522349097,9.616043525158426,0.0417266003705,0.0223700377629,2.800778133847089,2.531598168035515,0.026362698525318695,0.02602530467029851
1237648720699850942,193.71976474926663,-0.5024967617967057,0.089069,0.0,,1.0,1.0,1.0,0.020290533699555212,0.001093516982255466,0.323,0.04424657534246575,0.378,,,,,,,,,,,,,,,,,,,,,,0.0047940001823,4.41999989562E-4,22.9666109156,0.0400141819306,11.1474273187,10.829971201080145,0.0659606394933,0.0732197537782,2.189757064477085,1.87230094685723,0.04996680005060172,0.048071225175975396
